"MachineName";"InterfaceName";"Description";"DNSDomainSuffixSearchOrder";"MACAddress";"InterfaceIndex";"IPAddress";"IPSubnet";"DefaultIPGateway";"DNSServerSearchOrder";"DHCPEnabled";"DHCPLeaseExpires";"DHCPLeaseObtained";"DHCPServer"
"atdnt32";"Ethernet1";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:B2:50:A1";"4";"169.254.231.15";"255.255.0.0";"";"";"True";;;"255.255.255.255"
"atdnt32";"Local Area Connection";"Intel(R) PRO/1000 MT Network Connection";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:B2:21:93";"8";"138.103.152.61";"255.255.248.0";"138.103.159.51";"138.103.159.111,164.4.30.9";"False";;;
"atdnt51";"Corporate Network";"QLogic BCM5709C Gigabit Ethernet (NDIS VBD Client) #51";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"5C:F3:FC:B6:08:54";"4";"138.103.152.51";"255.255.248.0";"138.103.159.51";"138.103.159.111,164.4.30.177";"False";;;
"atdnt51";"Ethernet";"IBM USB Remote NDIS Network Device #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"5E:F3:FC:BC:08:57";"2";"169.254.95.120";"255.255.255.0";"";"";"False";;;
"atdnt53";"Ethernet2";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:FE:14";"3";"192.168.4.210";"255.255.255.0";"";"";"False";;;
"atdnt53";"Ethernet0";"vmxnet3 Ethernet Adapter #4";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:B2:42:E3";"10";"138.103.152.53";"255.255.248.0";"138.103.159.51";"138.103.159.111,164.4.30.9";"False";;;
"auint105";"Production";"Broadcom NetXtreme Gigabit Ethernet";"win.dom.sandvik.com,zpa.sandvik.com,aumg.sandvik.com";"E4:3D:1A:FA:92:A0";"6";"10.55.28.6";"255.255.255.224";"10.55.28.1";"10.22.79.84,164.4.92.8";"False";;;
"brint60";"em1";"Intel(R) Ethernet Connection X722 for 1GbE";"win.dom.sandvik.com,zpa.sandvik.com,brme.sandvik.com,dom.sandvik.com,sandvik.com";"38:68:DD:A0:A6:58";"16";"164.4.156.41";"255.255.255.0";"164.4.156.1";"138.103.136.24,164.4.162.8,164.4.30.9";"False";;;
"btipdcsvr";"Integrated NIC 1 Port 3-1";"Broadcom NetXtreme Gigabit Ethernet #5";"win.dom.sandvik.com,us.sandvik.com,dom.sandvik.com,sandvik.com";"04:32:01:5D:FC:C2";"8";"10.36.228.5";"255.255.255.128";"10.36.228.1";"164.4.30.117,164.4.30.177,164.4.162.8,164.4.30.9";"False";;;
"caint13";"em1";"Intel(R) Ethernet Connection X722 for 1GbE";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"38:68:DD:80:17:90";"13";"138.103.162.67";"255.255.255.0";"138.103.162.1";"138.103.162.24,164.4.163.2";"False";;;
"caint1";"Prod";"Intel(R) Ethernet Connection X722 for 10GBASE-T";"win.dom.sandvik.com";"08:94:EF:9E:F2:B6";"3";"138.103.81.40";"255.255.255.0";"138.103.81.1";"164.4.163.2,164.4.162.8";"False";;;
"caint1";"Ethernet 5";"IBM USB Remote NDIS Network Device";"win.dom.sandvik.com";"0A:94:EF:9E:E6:39";"5";"169.254.95.120";"255.255.255.0";"";"";"True";;;"169.254.95.118"
"cncatsm01";"Producation";"Intel(R) I350 Gigabit Network Connection #3";"win.dom.sandvik.com";"40:F2:E9:9B:B7:B2";"6";"10.37.40.54";"255.255.255.0";"10.37.40.1";"164.4.30.117,164.4.30.177";"False";;;
"cncatsm01";"Ethernet";"IBM USB Remote NDIS Network Device #2";"win.dom.sandvik.com";"42:F2:E9:9B:B7:B1";"5";"169.254.95.120";"255.255.255.0";"";"";"True";;;"169.254.95.118"
"cndnt41";"Production";"Intel(R) Ethernet Connection X722 for 10GBASE-T";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"38:68:DD:4A:E2:38";"5";"138.103.18.9";"255.255.254.0";"138.103.18.1";"138.103.140.13,164.4.92.45";"False";;;
"cndnt41";"Ethernet 2";"IBM USB Remote NDIS Network Device #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"3A:68:DD:4A:E2:3F";"10";"169.254.95.120";"255.255.255.0";"";"";"True";;;"169.254.95.118"
